comment,date,author,like_count,reply_count
Is it just me or is everyone else addicted to this channel ❤,2023-01-17T09:43:06Z,Thunidoc,1,0
🇧🇩🇧🇩,2023-01-17T09:17:35Z,Ujjwal Biswas,0,0
"She was not a criminal or a bad perosn, ""us"" the society includig her parents made her so. The society should take the responsbility for it and not denounce her✌",2023-01-17T09:16:54Z,DrukTrips,0,0
English ...,2023-01-17T08:22:02Z,Wrestling Perfect2,0,0
Case study on junko Faruta,2023-01-17T07:53:15Z,Ishika Debnath,1,0
Yeh sachme Devi hai...Maata hai 🙏🙏🙏,2023-01-17T07:39:14Z,Agnet Faze,0,0
mere ankh se asun agia...me jaldi roota nhi hu,2023-01-17T07:32:53Z,Roshan beautiful may I know wer u from Jaiswal,0,0
puttilal🤣🤣🤣🤣 putti toh bum hota h😂😂😂😂,2023-01-17T06:24:48Z,𖧷ᴊ.ᴛ.ɴ.ʏ.ᴀ. 팬픽,0,0
Politician bananane k baad bhi logo ki madad sirf wahi karna chahega jisme apne life mein sach mein problem dekha hoga,2023-01-17T05:46:23Z,Mantu Yadav,0,0
We need more bandit queen 👑,2023-01-17T05:34:04Z,Kp,1,0
You look like a sharukhan son ☺💕,2023-01-17T05:01:21Z,Kiki Life 💓,1,0
Better story than gangubai kathiawadi,2023-01-17T03:44:15Z,kanhaiya saraswat,1,0
"Me and my wife love watching your videos at night. Many of your videos already have English subtitles so she can watch them, but not all of them, so please add English subtitles to the rest of your videos so she can keep enjoying your channel. Keep up the good work. Thanks",2023-01-17T02:40:03Z,Maninder Singh daroch,3,0
Can u do 44 days of hell please,2023-01-17T01:28:38Z,naina,0,0
"Can’t even blame her for the murders. At this point anyone would have gone crazy, enough is enough. The murder was basically the hate she had for men. Threatened men by a strong women is just pathetic.",2023-01-16T21:35:16Z,Ritu,0,0
"I saw Many Documentaries of the Real Incidents Of murders & Suicide's - Please Make A Detailed Video On Them Like : 
1.THE BUTCHER OF DELHI 
2. MURDER IN COURT ROOM - AKKU YADAV
3. BURARI DEATHS",2023-01-16T20:40:08Z,H - A - S - N - A - i - N,3,0
"Sigma Female Phoolan devi, u r an inspiration for many women ❤",2023-01-16T20:35:36Z,Chitra Singh,0,0
Indira gandhi was evil,2023-01-16T20:23:16Z,Gurleen Arora,0,0
you really looks like pratik sehajpal 😀 and also your voice similar,2023-01-16T19:52:45Z,Sonam,0,0
Plz bro 1 video on noor mukadam case love from Pakistan,2023-01-16T19:32:20Z,Zaitoon Khan,0,0
"20:00 
Sher singh killed her due to jealousy😂🤣
Abe gadhe uske relative usne mare the 😁😁 ek gali nikal rahi hai 👻",2023-01-16T19:22:16Z,Headshot 😒,2,0
"Sher singh Rana is hero not phoolan devi (Dakku) and murderer. . 
Maut ka badla maut(unsubscribe you brother)😁",2023-01-16T18:38:08Z,Headshot 😒,1,0
Aandpal Singh राजस्थान का गैंगस्टर के ऊपर वीडियो बनाओ भाई 🙏🤗🤗,2023-01-16T18:33:36Z,Desi Banna777,1,0
Nail paint vanish ho gyi dobara. Laga lena...it looks attractive on you ....😍😊🤗😘....pls reply...😬,2023-01-16T18:01:24Z,Åriana,0,0
Sher singh rana 🔥🔥🔥🔥🔥,2023-01-16T18:00:51Z,raghvendra pratap singh,0,0
I have seen that movie and that's always makes me scare it's fear to see that how much men could be monsters.,2023-01-16T17:49:46Z,meera,0,0
In that movie full nude scene shown exact reality,2023-01-16T17:29:02Z,Sachin Verma,0,0
Aryan khan lagte ho bhai..,2023-01-16T16:46:29Z,coco mangoes,0,0
Plaese make case study on aarushi talvar double murder case please in 2008 this was happened and this was 2023 the case was unsolved please sr pay make another case study on it,2023-01-16T16:29:25Z,funny man11,1,0
शेर सिंह राणा 🦁💀,2023-01-16T16:22:37Z,yuv raj singh Rathore,0,0
amazing,2023-01-16T16:13:26Z,Mayuresh Singh,0,0
damnn this man is so addictingg,2023-01-16T16:03:36Z,dreamyv,0,0
"Please make another case study on aarushi talvar, i dont have any upi please yeh case abhi tkk unsolved hai please iss case pr video bnao please i request you",2023-01-16T16:02:43Z,funny man11,1,0
Nice 👍,2023-01-16T15:57:53Z,Tushar Kumar Sharm,0,0
"Me Preparing for GATE
Got notified SR pay
Let's go watch💀",2023-01-16T15:41:19Z,Shaik masrath,0,0
Just imagine every girl becoming brave enough to fight against their perpetrators like her.... And then image the picture of society.....beautiful,2023-01-16T15:24:15Z,Neha Singh,2,0
Jab Tum Akele Ho Jate Ho Aur Lakh Koshisho Ke Baad Achhayi Tumhara Sath Na De Toh Obviosly Burai Is Your Best Freind No Matter What But It's Dark Truth,2023-01-16T15:06:03Z,BlackArch,0,0
What a badass woman !!,2023-01-16T14:45:24Z,safiya,0,0
And I have a question she got raped so many times but how she didn't get pregnant,2023-01-16T14:37:40Z,Excelsior,0,0
I watched this movie. I was in shock for about some weeks. And research about this,2023-01-16T14:37:05Z,Excelsior,0,0
honest suggestion put some time stamps,2023-01-16T14:20:07Z,Atharva Bhise,0,0
"As a true thriller and crime lover... 
I LOVED THIS VIDEO ❤",2023-01-16T14:12:50Z,Bruh..,10,0
"Plz make a video abt Israel Keyes ""the smartest serial killer in history""",2023-01-16T13:42:46Z,Mσмєηт Oƒ Alωαуѕηєѕѕ,2,0
And what about krama when she helped thousands of people..!,2023-01-16T12:38:19Z,Baldevbhai Chaudhari,0,0
"Bro i think your english is way better, so if you could explain it in English it will be helpfull to people like us, we are not much familiar with hindi,  and the topic you select is most interesting to us",2023-01-16T12:37:14Z,Manoj R Badiger 1,0,0
Bhai aryan khan ka look 😲😲,2023-01-16T12:19:25Z,Enesh Darjee,1,0
Watch bandit Queen shekhar Kapoor ki direction ki best movie hai halaki khood foolandevi ne iss movie ko bann karwaya tha kuki wo bhi chati thi jis tarah tahkuro ne uska balatkar kiya wo sab movie may dikhaya Jaye ...but you should watch this movie Rona aa jayega may kafir bar dekh chuka hoo ..movie was shoot soo real,2023-01-16T12:09:50Z,Surender Singh,0,0
"Aaj bhi dalit ladkio ke sath rape ho rhe hai... hathras rape case  taza example hai or hamne ye bhi dekha kaise rato rat ladki ko uttar pradesh police dwara petrol dalkar jala diya gaya taki mamle ko jald se jald dabaya ja sake ..or kis tarah swarn samaj ke logo ne balatakrio ke paksh may panchayat kari ....jab tak ladki ki body ko petrol dalkar nhi jalaya gaya tha tab tak thakur neta panakaj adireya hathras nahi pahuncha lekin jaise hi ladki ki body jala di gayi agale din wo hathars pahunch gaya or chadrshekhar aazad ko dhamkane laga  ...
I don't understand ki ye balatakri log dalit ladkio  ka hi rape ku karte hai kya uppercaste mahilao ke pass yoni nhi hoti rape karne ke liye ...",2023-01-16T12:07:46Z,Surender Singh,0,0
The way shrinkhal perfectly narrates each and every case is just amazing. Also a positive point is his voice which has base .  Keep it up 👍🏻,2023-01-16T11:49:33Z,sidiously,32,0
☠️☠️☠️☠️☠️keep making,2023-01-16T11:05:38Z,Himanshu Raj,0,0
A real legend.,2023-01-16T11:04:35Z,_.taetae._,1,0
She was a very strong woman mentally and physically 💪💪💪,2023-01-16T10:54:40Z,THE BAT BOY 🦇,4,0
Actual feminism?,2023-01-16T10:38:16Z,Mayukh Roy.,0,0
Sher Singh Rana a true legend ❤,2023-01-16T10:08:23Z,Romi Singh,0,0
Indeed a Queen 👑,2023-01-16T09:48:47Z,SP,0,0
"Of a coin there are two faces.
In chambal she killed many of many innocent people  only for robbery.",2023-01-16T09:37:19Z,Prateek Yadav,1,0
hoodie from?,2023-01-16T09:30:11Z,Henson,0,0
Sher Singh Rana ki apni ek legendary story hai.,2023-01-16T09:04:12Z,Ayush Sinha,0,0
"Well Sher Singh Rana,has his own history how he recovered Maharana Pratap's body from afganistan",2023-01-16T09:01:31Z,Ninja Gamings,0,0
Sher Singh Rana jindabad,2023-01-16T08:57:16Z,arun singh,0,0
Jai Sher Singh Rana ❤️,2023-01-16T08:43:22Z,Parth Rajput,1,0
"She really proved this-""turn your pain into power""🔥🔥💜",2023-01-16T08:43:07Z,Krishna Shrivastava,41,0
"Respect for Phoolan Devi!!
🤷🏻‍♂️ Might she did wrong or right 
But the great thing is she fought for it. She never ever give up ! 😌 Her way of thinking was soo gudd and awesome.",2023-01-16T08:25:07Z,T0ny,2,0
Bandit Queen 👑,2023-01-16T07:51:10Z,Cook Beads,0,0
Both Phoolan Devi Ji 🙏🏻 and Sher Singh Rana Ji 🙏🏻 are true legends but only so called jatiwaad is prohibiting people to appreciate them 🤦,2023-01-16T07:35:11Z,Priyanshu Aryan,5,0
Your videos are such an amazing dude keep working hard ❤🖤and plz make video on Anatoly slivko the psycho serial killer,2023-01-16T07:12:21Z,Neelam.18,0,0
Rocky bhai in parallel universe,2023-01-16T07:00:15Z,Jigra,0,0
Now this is how a real goddess looks like...,2023-01-16T06:33:52Z,The Gingertea,0,0
🔥🔥🔥,2023-01-16T06:27:12Z,abhijeet vasishtha,0,0
"Sher Singh Rana jinda baad.
Tum sher jo bhai.
Hero ho bhai.
Maharana pratap ki jai.
Jio sher, aap ki wajah se hamara sar garv se ucha ho jata hai।",2023-01-16T05:52:25Z,Utkarsh Pandey,0,0
Jai Sher Singh Rana 🔥💪,2023-01-16T05:48:58Z,Tamoghna Gangopadhyay,0,0
Ask yourself if these things happen to your sister what would you expect to do with them... Before hating her Just ask yourself.,2023-01-16T05:19:04Z,Anmol francis Tudu,0,0
Before glorifying Phoolan Devi remember she shot minor children. Are you supporting child murderer?,2023-01-16T05:01:41Z,Smeshnoy Matvey,0,0
She was a criminal not a queen. Yes bad things happen to even criminals as well. Ashamed that I was born in a country where such criminals were member of Parliament,2023-01-16T04:51:15Z,Smeshnoy Matvey,0,0
Oh man …. Ur voice is so good yaar … god bless you .,2023-01-16T03:24:39Z,aakash kulkarni,0,0
pls make video on oppenheimer,2023-01-16T01:21:53Z,Srijan Tanwar,0,0
"Well we live in Lucknow UP....but my family is from jalaun UP....i jave been to Phoolan davi's....well nothing is changed their people still are casteist but yes....they don't show their intentions or become violent but still....you heard them say "" aree vahan Matt jao chamar rehte hai waha""...."" Jao nahane chamar ko choo liya isne"".",2023-01-15T22:57:11Z,Rishabh Verma,1,0
upi 😂😂 bheekh mangne ki koi seema hoti h,2023-01-15T21:15:56Z,BOT GAMING,1,0
"I did watch the movie. The artists in the movie really did well to share her painful experiences.
I also saw an interview where she did not want to comment on the movie. 
It is heartbreaking, how people is capable of these act.",2023-01-15T21:06:08Z,Raymabee Spiewanowski,13,0
Literally Queen👸👑,2023-01-15T20:46:47Z,H.I.R.A,0,0
Why do you guys always try to make those criminals like a hero or heroine. Before making your videos please go through all the possible documents. How brutal she is .. how she killed lots of innocents in the name of revenge,2023-01-15T20:21:27Z,Rana Debnath,2,3
"Even the ""worst"" people with worst committed crimes are victims of some sort but that doesn't justify what their victims (innocent ones) endured . Very interesting to see the case from various perspectives",2023-01-15T19:13:20Z,Raman Kumar,9,0
I like your videos,2023-01-15T18:56:58Z,Nandini Shaw,0,0
Gangu bai 2.0,2023-01-15T18:37:55Z,Hiba,0,0
"Now i know why I was called, ""Phoolan Devi"" when i stood up for my self when i was a kid! Dayum! Respect her! Because of her now women are so empowered. Hats off to Phoolan devi",2023-01-15T18:24:17Z,Imposter,4,0
Can you please do 44 days of hell <3,2023-01-15T17:57:26Z,CHOUDHARY!,1,0
Please add English subtitles brother,2023-01-15T17:31:05Z,Void Main,0,0
I have seen the bandit queen movie its more like documentary...seema puri done great job,2023-01-15T17:28:44Z,Aryan A,0,0
"The Bandit Queen.... movie based on the life story of Phoolan Devi, a thrill watch and true to the core.",2023-01-15T17:18:51Z,Akansha Xalxo,3,0
Can you Make a video on Junko Furuta case. The worst commited crime in the world till date. Btw this video was really informative 🙌,2023-01-15T17:07:34Z,Syed Saniya Ahmed,1,0
"Tumne aapna H.W aachar se nahi kiya hai ,tabhi ek khooni ko izzat de rahae ho.  Jammuna nadi ke kirane par 20 begunaah logo ko goli maar di, 20 logo ki biwi baachae aanth kar diye ,sharam ki baat hai usse vvip treatment diya ja raha tha, 20 logo ka murder isliye kiya kyuki wo thakur the aur surrender karne ke just phele jaankar ussne mara tha, hospital Maine admit hone ki jagah wo 2Din mai election ladne chali gai wahhh
Kaunsi bimaari thi itni jaaldi thik bhi ho gai",2023-01-15T16:58:26Z,Spiritual love,2,0
Jai ho Sher Singh Rana saheb🙏🙏🙏🙏🙏🙏🙏🙏🌺🌺🌺🌺🌄☀️☀️☀️,2023-01-15T16:51:44Z,Spiritual love,3,0
The toy box killer,2023-01-15T16:49:19Z,Monika sunar,0,0
Sr pay love uuu 🙈🙈      ...Japan ki janko furuta raped case plzzzzzzzzzzzzzz telling .  🙏🙏🙏🙏🙏😔😔😔😔😔😔😔,2023-01-15T16:25:05Z,Anjali Sharma🤗,0,0
Accha brother kya aap Taru ke bhai ho?,2023-01-15T16:04:19Z,Rajesh Biswas,0,0
Wow love from Rawalpindi Pakistan chacha k bete se love marriage kr k katl Kr deti meri behan shazia ne b mere czn uzair k Sath yehi kia hai zamant main ne kra lia tha ab meri Behan ki Mere ma bap NE dusri shaadi kr di thi phulan devi zindabad,2023-01-15T15:58:58Z,Muhammad Asfoor Rajput,0,0
"Next Case study of toy box killer - David Parker Ray  , please 🙂",2023-01-15T15:48:51Z,Nick,0,0
At first i thought he's SRK son Aarya khan 😂😂  both look exactly same👀,2023-01-15T15:16:52Z,Alishaaa,2,0
"She is never a villain or a bad person for me.. I have seen the movie ""Bandit Queen"" which is based on her life.. She faced so many hardships and torments and for a girl surviving rapes it next to dying but she went through and came out as a winner as a leader and politician also she did a lot..👏🏼 for me she is a winner",2023-01-15T14:31:00Z,Alice Rose,169,2
Movie name is Bandit Queen!! I have watched that movie it's very traumatizing. I was very much upset and scared. I love the way you narrate stories keep it up🤘♥️,2023-01-15T14:19:24Z,Aditi Gupta,4,0
Please use a puff filter,2023-01-15T14:18:51Z,shinchan_H59,0,0
Putt_ lal?,2023-01-15T14:09:09Z,Aruna Tamut,0,0
Sir please bawari Devi Rajasthan pe video banao,2023-01-15T13:23:38Z,Suraj Meena,0,0
Sher Singh Rana n jealousy k vje nhi mra bsdk.. Mai tera ma baap k murder kru? Tu merko apni property de k thanks bola ga? 💀 Or merko arrest krwaya ga mc,2023-01-15T13:12:02Z,Itachi,1,0
Nice bro..,2023-01-15T12:45:57Z,Akhil Joshi,0,0
😶,2023-01-15T12:30:14Z,Nigam Mitra,0,0
22 log jo mare vo nirdosh nahi the kya kyonki jab unme se ek mara tab bhi 21 chup the koi bhi nahi bata paya ki Lala Singh aur Shree Ram Singh kahan hain aur Phoolan ne mar diya  . Kuchh to chhupaya ja raha hain .,2023-01-15T11:50:06Z,Dhirendra technical,0,0
Sher Singh Rana ki bhi story  bahut interesting please ise bhi cover karo,2023-01-15T11:35:28Z,Ankit Singh,5,0
I played role of Phoolan Devi in my childhood.,2023-01-15T11:16:18Z,Lalit Sharma,0,0
Karma can give you results in multiple births... It's a continuous cycle of accumulating good and bad karma over multiple lives. Even becoming human rather than animal is result of karma .,2023-01-15T10:49:29Z,RC,1,0
The Child Who is Not Embraced by the Village Will Burn it Down to Feel its Warmth --,2023-01-15T09:53:34Z,sourabh upadhyay,1,0
Please Richard Ramirez case please please,2023-01-15T09:44:37Z,♡{𝙸𝚝𝚡_𝙻𝚊𝚒𝚋𝚊}♡,0,0
why not open a reddit community where we can discuss such topics more freely,2023-01-15T09:42:41Z,ThE CrOcK,1,0
"What happened with those police mans - innocent GIRL asked to karma, N karma replied 
Karma - they have kept living in fear for the rest of the life with dealing they consumed to much alcohol in fear of being killed by pullan devi due to that , they ruined ther wifes life and kidding to by which they suffered from Harmful cause like cancer TB. AND AIDS  now they suffer every day every month every years till death, that's me
- karma said am there for everyone everywhere once they done with there parst *I start my paths 💀
-----Innocent girl smile in tear 🫂",2023-01-15T09:40:57Z,Jatin Khimoria,0,0
I watched that movie in my school day my parents also watching they told me that she was very brave lady and good person inspite of many hard ship she did good thing in her life the movie was very long more than 4 hour but very good movie i still remember many of the part,2023-01-15T09:33:40Z,1726 Chandani Yadav,0,0
She is so strong woman  yes I know the movie🎬,2023-01-15T09:14:48Z,Reshmi Sharikh,0,0
Love from Bangladesh 🇧🇩💓,2023-01-15T09:13:23Z,md Abdullah,0,0
"Sher singh rana was the one who brought prithavi raj chauhan's ashes back to India from afganistan. No government was able to do this for years of negotiation. He took revenge of his fellow rajputs who were killed by phoolan devi. Mtlb Sher singh deserves a special mention for bringing back the ashes to India. Its an another story, I am not in support of him killing phoolan devi.",2023-01-15T09:07:56Z,Mehak Verma,1,0
Bro ek baat bolu har decision kabhi galat nahi karta aur ha aur rahi mafia gangster har koi ek jaise nahi hote kuch acchi niyat wale bhi hote hai aur ha politics se gandi cheezz aur constitution bhi har bar kam nahi ate 😎😎,2023-01-15T08:50:52Z,Neha Patil,0,0
Pls put subtitles,2023-01-15T08:48:27Z,aflahafathima,0,0
Love the way u narrate ! One suggestion if u could do a video on burari case it’s chilling and thrilling,2023-01-15T08:47:11Z,Ak,0,0
Hey u r on trending page ❤️ 🎉💯 lots of love,2023-01-15T08:40:44Z,Tan Pra,0,0
Hey love you're video's✨️pls could u cover na young case plss~~,2023-01-15T08:14:54Z,devanshi rawat,1,0
I remember you used to be a kpop lover and a big BTS fan and you had channel about them you used to talk.  Now this .. I am not telling this is wrong thing but this is a very good thing but why ? this is my question.     Why suddenly so big heart change. Thoughts change. Even channel change. Now I can't find your old channel and videos. ? Answer me if you are comfortable to answer. And also you are doing so great your videos are very good and well made I like these as well. 💜,2023-01-15T07:37:45Z,ADZ,1,0
Hey! Can u please do the toy box killer transcripts case i really want to know abt this case.,2023-01-15T07:24:12Z,Juveriaa nazeer,0,0
I think this is the same Sher Singh Rana who brought back remains of prithvi raj chauhan from Afghanistan,2023-01-15T07:18:10Z,Hemon Biswas,1,0
"Karma shabko bara bar ki saza kyu nahi deti ?!

Biggest unanswered question in this world.",2023-01-15T07:11:16Z,chitra ghatak,0,0
"i don't think she has done anything wrong .  The man of that time were mentally sick . firstly her father , then her  husband who brutelly raped a minor , then that thug member, police , the thakurs who felt that a women shouldn't be at equal position . i m just so proud of her . just have so much respect for her .",2023-01-15T06:01:46Z,Rocky 98,0,0
"Ye glt hai unkepapa ne unhe jail nhi bheja, balki poolan devi par iljam lagaya gya tha jutha, ar jail me bhej diya gya tha..",2023-01-15T05:36:34Z,Payal Chauhan,0,0
Literally watching from jalaun but i dont know it,2023-01-15T05:04:36Z,Bearded DareDevil,0,0
Bro u nepali??,2023-01-15T04:28:44Z,ANISH GURUNG,0,0
❤,2023-01-15T04:28:05Z,Anjali Armoli,0,0
Being a woman is a crime in India but being a woman from lower caste is a bigger crime 😓😓,2023-01-15T03:54:17Z,Meenu Barath,0,0
Bhai tune review kiya aur movie nahi dekhi to review bas stories pe karta hai jaake dekh movie one of the best documentary film.,2023-01-14T23:44:29Z,Bharat yadav,0,0
"Because I already know about the story, I can say there is difference. I really liked your video and always believed in them, but your this video changed my mind. Kindly do research on this topic don't just rely on book.",2023-01-14T20:29:23Z,Nisha kumari,0,0
please do AARUSHI TALWAR CASE next,2023-01-14T20:05:09Z,Bipasha ARMYXDIRECTIONER,0,0
Pls make a video on case study of sewol ferry tragedy plsss🙏🙏🙏,2023-01-14T19:20:14Z,Streets Treats Eats,0,0
The bandit queen is the name of the movie. You'll have goosebumps throughput the movie.,2023-01-14T19:06:50Z,Ratnawali Dewra,1,0
"Naam mai shree Ram hone se kuch nahi hota unke jaise karma bhi karne padte hai 
Jai ramji ki🚩",2023-01-14T18:52:47Z,Deven Gondke,1,0
"Thodi story aapne chhupa liya hai, foolan devi ka rape, thakuron ne kiya tha",2023-01-14T18:50:56Z,START AMBEDKAR YUG,0,0
"Transferring money from rich to poor through robbery inspires communist ideology,it should not be glorified unless you follow the ideology",2023-01-14T18:36:47Z,Tirth Goswami,1,0
Bro plz one video on Raman raghav,2023-01-14T18:27:31Z,Generation earth,0,0
खैलांजी हत्याकांड महाराष्ट्र राज्य पे व्हिडिओ बनावो  plz,2023-01-14T18:05:02Z,Vivansh manwar,0,0
Bro make one for ted bundy pls😢,2023-01-14T17:59:12Z,Aayush !!,2,0
"She endured so much torture
Then became a Queen of people's heart
She knew the suffering of poor people
She wanted to help them as much as she could",2023-01-14T17:35:11Z,Munmun Naskar,325,8
Pls make a video on junko furuta case😮‍💨,2023-01-14T17:25:31Z,Maahi singh Dance,0,0
you gained yourself a loyal subscriber😊👍 Great stuff buddy,2023-01-14T16:41:12Z,Samarth Kochgaway,1,1
"You are looking like Tommy cabrio, a pornstar. Sorry brother for my talk but you seem like him.",2023-01-14T16:31:27Z,Ayushman AJ,0,0
Can you explain about cute criminal girl😅,2023-01-14T16:15:50Z,DECODE,0,0
O,2023-01-14T15:58:45Z,NIRAJ,0,0
"Love your videos, please do one about the toy box killer, David Parker Ray!",2023-01-14T15:58:38Z,Hi Iamhidinginyourwalls,1,0
"20:44
Karma is कर्म and not कर्मा.
Please stop anglicizing our words.",2023-01-14T15:58:29Z,Gurunath Hirve,3,0
tf he is 34 years old how is it even possible he is look like so young,2023-01-14T15:42:22Z,M4CHINE,0,0
She should be worshipped,2023-01-14T15:40:50Z,akanksha k,0,0
Mulayam Singh Yadav Ji is a God,2023-01-14T15:32:35Z,Lakshay Yadav,0,0
"6:13 is this real photo ?
Kyunki jo aadmi apni moustache sahi kar raha h usko mene old movie mein dekha hai 🤔",2023-01-14T15:22:23Z,𝐕 𝐈 𝐃 𝐔 𝐑 🅥,2,0
"SHRINHAL!! pls explain story of ""Natascha Kampusch""",2023-01-14T15:17:01Z,mommy dynasty,0,0
Day 3 for asking a video ted bundy,2023-01-14T15:12:37Z,Khushi Singh,0,0
"Brother shersing Rana me hi itani himat thi 
Jo tihad se bhag kar Afghanistan Gaye the prithviraj chauhan ki asthia lane jo ajtak koi nahi kar paya vo unhone Kiya tha tumhe nai pata hoga shayad",2023-01-14T14:34:10Z,PM 008,1,0
15:52,2023-01-14T13:53:25Z,Alwin George,0,0
🚫........ 🚩........👏,2023-01-14T13:39:36Z,Jaysurya Thapa,0,0
👍👍👍,2023-01-14T13:01:53Z,Suhani tripathy,0,0
Im really happy that your channel is growing really fast  congratulations shrinkhal,2023-01-14T12:46:03Z,poggieeeee,1,0
Please can you make a video about durlabh kashyap,2023-01-14T12:13:48Z,SlayeRisNoob,0,0
👍✌️good job🙌God bless beta😘,2023-01-14T11:55:26Z,Mamta Bisht,0,0
Sher singh rana  ki jay,2023-01-14T11:43:57Z,SHIROMANI FF,1,0
Main nai apki videos kl sai start ki enka naam barha suna indian movie main but enka kuch pta nahi tha.. respect from Pakistan,2023-01-14T11:14:34Z,Colours of PK. L JURY,0,0
Man you're just too good with your videos..i hope you keep uploading forever,2023-01-14T11:10:58Z,idk,0,0
Sb se bdla lia usne pr apne Baap se ni lia... Main devil,2023-01-14T11:09:05Z,Aayat,0,0
Women 👑,2023-01-14T11:01:10Z,AAshuBAba EDits!,1,0
Appreciate your hard work bhai,2023-01-14T10:52:28Z,Sushant G,0,0
Sher Singh Rana is also a legend,2023-01-14T10:31:27Z,AviR,3,0
"I don't know why but I just being hate the thing there in 19:53(literally, they guys are smiling, wtf I don't know if they are smiling coz they caught the murderer of Phoolan devi) but mujhe bahut kharaab laga.....how can they can smile, afterall the most pure hearted lady leaved this world and they guys are......",2023-01-14T10:29:56Z,Nilaakshi,1,0
"Hats off to Phoolan Devi ji 
But I just want to mention people who don't know about sher singh rana He was the one who brought our legend prithviraj chauhan ashes from Afghanistan without any govt any support 
He also did many good things in his past 
And as Phoolan Devi shot 21 innocent rajput who not did anything wrong their family suffer a lot..",2023-01-14T10:24:01Z,Natasha Singh,2,0
She was my relative,2023-01-14T10:18:11Z,AlexStar,0,0
Foolam devi ko or ak kam karne jaruri tha un policy walo ko v jinda jala dena chiheya tha,2023-01-14T10:17:31Z,Nisha Chaudhary,0,0
You can make a separate video of Sher Singh Rana ........he bought the last remains of Prithviraj Chauhan from Afganistan........btw keep up this good work.,2023-01-14T10:16:56Z,Angel Rana,1,0
8:36 😂😂😂👍,2023-01-14T10:10:46Z,Mehwish Shaikh,0,0
She's a legend ✨,2023-01-14T10:05:31Z,Mika,2,0
My nani was born in Uttar Pradesh very near to her and she had experienced the terror of phulan devi she tells me stories of phulan devi in her childhood,2023-01-14T10:02:57Z,TEE Legit,1,0
Bro sher singh rana pr bhi videos banao afganistan wali,2023-01-14T09:49:33Z,Nitish Gautam,1,0
Brother you need to tell everyone the horrifying story of Elizabeth Fritzl.... Only you can do justice to that gruesome incident... Hope you read my comment...,2023-01-14T09:41:46Z,Abhishek Hota,2,0
Your explaination is perfect I'm watching you since one week and  now you are my fav explainer 🫶🏻,2023-01-14T09:34:29Z,RAGHU FF,0,0
"Phoolan Devi was not villain, she was Anti-Hero... Situation and torture in her childhood made her like this 😶",2023-01-14T09:28:05Z,Sameer Singh,5,0
Jai rajputana full support to sher      singh rana🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,2023-01-14T09:21:20Z,Ayush Raj,2,0
Please make a video on Dev Dasi pratha...,2023-01-14T08:58:51Z,Tanmay Raj,1,0
You don't check your Instagram dms.... 🙂 do you?? Ask yourself,2023-01-14T08:58:12Z,Subarna,0,0
Bro actually this incident happened in my village 🤣,2023-01-14T08:44:18Z,FacTs_FUN,1,1
"Her village was next to my village my papa has a photo with her 
She always respected my family and she was nice hum gaow walo ke sth",2023-01-14T08:33:55Z,cricket shorts,1,0
Bro shre shing Rana pay thodi research to banti hay after he kill her ....... He was break the jail and hiding at Afghanistan ..... Or bro shre shing Rana pay banav ek video,2023-01-14T08:12:58Z,KD parmar,0,0
Vo movie ban ho gayi thi...,2023-01-14T08:07:28Z,A Google User,1,0
Sher Singh Rana is out on bail roaming around freely. You forgot to mention that.,2023-01-14T07:58:59Z,babu lal66,1,0
Sher Singh Rana Zindabad ❤️👑❤️,2023-01-14T07:52:31Z,ŁØⴽĐ,1,0
"I really like your story and styles ,i always wait for your video",2023-01-14T07:35:59Z,Fabina George,0,0
"Did anyone noticed he said ""GORA-KA-PURA"" ? TO GORAKHPUR ig like I'm not sure but i never heard about such place named like that in UP and the only name similiar to that is gorakhpur well it's no biggie but i find it funny hehe i didn't mean any offence I'm sorry",2023-01-14T07:33:48Z,hema Pravin,0,0
Not me sharing birthday with Phoolan Devi 😭,2023-01-14T07:29:31Z,Akhya Shriti,0,0
Bhai crish benoit pe video bana super hain,2023-01-14T07:25:01Z,Sahil Traders,0,0
Thankful to you for sharing her story. She was really a queen and a strong rebellious woman as well.,2023-01-14T07:23:13Z,Pallavi Upadhyay,3,0
"I watched Shekhar kapur's Bandit queen. Such a raw and bold movie, especially in those times. Movie is filled with veteran actors. Seema biswas played the role of phulan devi.",2023-01-14T07:14:21Z,SAKSHI VERMA,4,0
ʕ•ᴥ•ʔ,2023-01-14T06:53:07Z,ruti,1,0
I have seen the movie including reading her biography..for me she is human form of tit for tat...people who abused her got the punishment..but in the end she also remained in peace..,2023-01-14T06:35:51Z,dreamcatcher🖤,0,0
Finally new video i was waiting from long 🙂 iam ur new subscriber and I like ur videos ♥️,2023-01-14T06:35:28Z,Gameing hub,1,0
Idk but she's very inspirational,2023-01-14T06:32:20Z,tamanna,0,0
Koi badmaash paida nahi hota log badmaash bana dete hain,2023-01-14T06:26:35Z,Priyank Singh,2,0
That's why she's bandit Queen,2023-01-14T06:18:39Z,your nightmare,0,0
"Women should find another  planet to be safe because men are everywhere to assault them ,even 35000 feet above the ground.
Wait for me .....Next one will be me.",2023-01-14T06:14:09Z,Neeti kranti,0,0
She's inspiring for many because of her will power even after going through all this,2023-01-14T06:12:04Z,Sachin Nayaka,7,0
