comment,date,author,like_count,reply_count
ur voice is so addictive ❤️...,2023-02-06T03:55:04Z,SMIZZ 007,0,0
No1 and useful Chnl on Ytb,2023-02-05T01:51:14Z,Davidkmwt,0,0
How to make donations to you?,2023-02-04T08:26:42Z,omkar yadav,0,0
"अधूरा सत्य और थोड़ी मिलावट
Books तो कोई पढ़ेगा नहीं",2023-02-03T21:08:10Z,Prem solanki,0,0
Rong,2023-02-03T21:03:06Z,Prem solanki,0,0
Sher singh Rana is chad,2023-02-03T19:28:29Z,Prince Gautam X-D 7745,2,1
Sher Singh Rana Jabardust Character Hai,2023-02-03T05:22:31Z,Historiographer,0,0
I have seen the movie,2023-02-02T20:52:56Z,only LMH,0,0
It is totally biased you can't trust her everything cm un man,2023-02-02T17:46:34Z,Royal Gamerzs YT,1,0
You look like desi Aryan sharukh khan,2023-02-02T17:31:02Z,Royal Gamerzs YT,0,0
It’s immensely bad and worst incidents happened with her it’s not her nature make her like this but all the incidents and mainly her father mother is mainly responsible for this…btw she did it very well with all it’s acceptable at that time not law and any one helped her at very needed time…hats off to her,2023-02-02T09:54:37Z,गुरुकृपा केवलम (Supreme Grace),1,0
👏👏👏👏,2023-02-01T17:24:11Z,muskan kholwad,0,0
Bhai aapki photo thumbnail par dekhkar aisa laga ki aap is kahani ke ek victim ho.,2023-02-01T05:39:14Z,Deep kr.,0,0
"Sry sir, I'm one of your biggest fan but Sher Singh Rana killed her not because of jealousy. Phoolan Devi killed 20 innocent people including children's and all of them are Rajputs. What Sher Singh Rana did was Revenge .",2023-01-31T08:40:09Z,SHUDHANSH EDITS,2,0
I can see ppl fighting over her being a traitor or murderer in Comment section,2023-01-31T08:30:44Z,𝗔𝘆𝘂𝘀𝗵𝗺𝗮𝗻 🇮🇳,0,0
Imagining a girl in 1950s standing for the dignity of girls was a huge thing at that time,2023-01-30T15:33:54Z,Wavespirit07,10,0
your explanation is damm awsome bro,2023-01-30T11:16:38Z,Ankit Yadav,0,0
"bro u know karma is not for this life only , it will follow you for multiple lives until unless right time has come and for more presicse explanation u should listen talk between SHREE KRISHNA AND BISHM , when bishm is on baad shaiya",2023-01-30T11:13:05Z,Ankit Yadav,0,0
"God she went through hell her life...pain betrayal from own family, police , peoples I can't jst imagine trauma

..I know in that us samay me saari kaafi girls aese gujari hongi...I'm proud of Phoolan Devi's character and she choose not to tolerate this ..even she was right fighting for her family but they got her married & then jaill so...cruel...

I'm proud of Phoolan devi🔥🔥🔥.
Or ye b he ki aj k 2023 me b rural area ,village area me b aesa ho rha hoga...
We need more of Her .. more phoolan devii..🔥🔥
Such a Badass..🔥True ,brave girl..❤️❤️❤️❤️",2023-01-30T06:23:47Z,Avansika 📖,1,0
